Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Cyprus,2001,70+ years,Female,Liver cancer,"Deaths per 100,000",16.4586323,13.32832939,19.99789125
Cyprus,2002,70+ years,Female,Liver cancer,"Deaths per 100,000",16.97161267,13.84224418,20.6923054
Cyprus,2003,70+ years,Female,Liver cancer,"Deaths per 100,000",17.65543077,14.36823762,21.48157196
Cyprus,2004,70+ years,Female,Liver cancer,"Deaths per 100,000",18.37640421,15.06059299,22.12523033
Cyprus,2005,70+ years,Female,Liver cancer,"Deaths per 100,000",19.59664613,16.12715057,23.49584203
Cyprus,2006,70+ years,Female,Liver cancer,"Deaths per 100,000",21.31904717,17.62919714,25.59259628
Cyprus,2007,70+ years,Female,Liver cancer,"Deaths per 100,000",22.45923935,18.65747546,26.75825758
Cyprus,2008,70+ years,Female,Liver cancer,"Deaths per 100,000",23.5560607,19.55839863,28.04827219
Cyprus,2009,70+ years,Female,Liver cancer,"Deaths per 100,000",23.78138347,19.56329037,28.29582084
Cyprus,2010,70+ years,Female,Liver cancer,"Deaths per 100,000",24.20196464,19.86918179,28.66989466
Cyprus,2011,70+ years,Female,Liver cancer,"Deaths per 100,000",24.74359729,20.14584806,29.45947514
Cyprus,2012,70+ years,Female,Liver cancer,"Deaths per 100,000",25.21520573,20.65748913,29.95412113
Cyprus,2013,70+ years,Female,Liver cancer,"Deaths per 100,000",25.52365355,20.75990087,30.66653186
Cyprus,2014,70+ years,Female,Liver cancer,"Deaths per 100,000",25.60738368,20.93767486,30.75218351
Cyprus,2015,70+ years,Female,Liver cancer,"Deaths per 100,000",25.61123846,20.78501045,31.00295896
Cyprus,2016,70+ years,Female,Liver cancer,"Deaths per 100,000",25.37646878,20.39790605,31.002246
Cyprus,2017,70+ years,Female,Liver cancer,"Deaths per 100,000",25.09377438,19.85560422,31.03023388
Cyprus,2018,70+ years,Female,Liver cancer,"Deaths per 100,000",24.93556529,19.40361,30.99958335
Cyprus,2019,70+ years,Female,Liver cancer,"Deaths per 100,000",24.68443737,19.10229156,30.96582604
